Content,Page URL,Post media content,Reactions,Comments,Reposts
"The last two weeks have been stressful, emotional and challenging for everyone. The resiliency of Yellowknifers cannot be understated – this is truly an unprecedented time for our community.Today, we were advised by the Territorial Government’s Environment & Climate Change wildfire experts that the Yellowknife fires (Behchoko/Yellowknife Fire and Ingraham Trail Fire) are now “being held,” and not considered to be out of control at this time. “Being held” means that with t… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/370531833_791296966334974_6896931725191940380_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=3635dc&_nc_ohc=yMW2lZYPpdgAX_6Juky&_nc_ht=scontent-iad3-2.xx&oh=00_AfDk01hFl4UtHK59SjBdc0zWyrosQpIGdns2Ghv8J5WM4g&oe=65E6DD5D,218,,
"Behchoko/Yellowknife Fire (ZF015) - August 25, Noon SIZE Last mapped – 167,082 hectares … See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/370176705_710801951091864_6504251142711496059_n.jpg?stp=dst-jpg_p843x403&_nc_cat=104&ccb=1-7&_nc_sid=3635dc&_nc_ohc=bzfLE7TGtZsAX_Hdovt&_nc_ht=scontent-iad3-1.xx&oh=00_AfB1wQyHYj1rLTQ7V9q0DVBRKH7QbFKYMsHjMLcypgrHXQ&oe=65E7DC57,106,17 comments,17 comments
"EVACUATION ALERT - CABIN AND HOMEOWNERS BETWEEN KM 284 AND 306 AT BOUNDARY CREEK – HIGHWAY 3. Those in this area should be prepared to leave on short notice due to potential wildfire progression to the east on the Behchoko/Yellowknife Fire (ZF015) over the next two days.With strong, northwesterly winds and the current state of the fire, this wildfire has the potential to move up to 20km by the end of Saturday. … See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/362983138_697873242384735_4910938278734978052_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=3635dc&_nc_ohc=PeE-t4mouwAAX-_CU5L&_nc_ht=scontent-iad3-2.xx&oh=00_AfASHFj9siVamIPyYKgB84GICXr5dXItkPExcadoMcK3sw&oe=65E75B75,23,8 comments,8 comments
"My town of Yellowknife has been evacuated due to forest fires threatening the city.I was away at the time on a 3 day trip and only packed enough for those 3 days. Wasn't able to go back and grab anything sentimental, extra clothing for the kids, or personal belongings. Nothing. … See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/368893199_803552314891635_4034913074498588173_n.jpg?stp=dst-jpg_p843x403&_nc_cat=110&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=64mMNv27Gw4AX-ovoJj&_nc_ht=scontent-iad3-1.xx&oh=00_AfBZs5MzQbfq07zZgtrqaMULh_0uF-J1g-aOmubFOrWLRw&oe=65E6EC6F,6,,
"Behchokǫ̀/Yellowknife Fire (ZF015) – August 6 (2:00pm)This fire remains out of control. It is estimated at more than 115,000 hectares. Distance from landmarks… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,,54,11 comments,11 comments
Located in edmonton. We can take reptiles such as lizards and turtles and birds and pigs as long as cage and food and bedding provided. Currently have a gecko and 3 cockateils each have different requirements. Unfortunately no dogs as we have 3 already. Cats we cant do due to allergies.,https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,,3,1 comment,1 comment
"Behchokǫ̀/Yellowknife Fire (ZF015) – July 26 (9:00am): There remains a great deal of uncertainty as the team pulled back as the fire blew up and approached the community – and responders had to get out for safety reasons. Here is what we know, and what we’re doing this morning as we regroup and get back to work:• The fire reached the community of Behchoko in Rae overnight. • Three homes are known to have been lost in Behchoko (Rae).… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,,169,31 comments,31 comments
"North Slave Complex (ZF011, ZF012, ZF015, ZF085) – August 17, 8:00pmConditionsCritical, challenging days ahead – with two days of northwest to west-northwest winds on Friday and Saturday, which would push fire towards Yellowknife. Minimal precipitation in the forecast. These winds would push both the Behchoko/Yellowknife Fire and the Ingraham Trail where we do not want them to go. … See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/367396252_706349871537072_4768177562252051670_n.jpg?stp=cp6_dst-jpg_s1080x2048&_nc_cat=107&ccb=1-7&_nc_sid=3635dc&_nc_ohc=97-j-doEnNsAX_84FMV&_nc_ht=scontent-iad3-1.xx&oh=00_AfA9hDZP0IYKeTVSCfImsjkGTfqwLjB3xFtlF4tINNl5AA&oe=65E7CD9D,249,30 comments,30 comments
"Join us today as we remember and honour two of our fallen brothers Cyril Fyfe and Kevin Olson. The tragedy occurred on March 17, 2005 when fire fighters responded to a fire at a hardware store. Fyfe and Olson were trapped under a roof that collapsed during the fire.Olson, who was 24 and on the job just 10 days, died that day. Fyfe, 41, was in a coma for four days before being taken off life support. He had been a Yellowknife fire fighter for 18 years. … See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-1.xx.fbcdn.net/v/t39.30808-6/336870917_599577828737903_8237449545703997270_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=3635dc&_nc_ohc=P5gc5q8ozvMAX8fVlrC&_nc_ht=scontent-iad3-1.xx&oh=00_AfDdrrENBkUzzG9NNGSLea1G_-dPwijA8aDEGiehASSVaw&oe=65E6DE20,77,1 comment,1 comment
YELLOWKNIFE: a new fire was detected to the north of Long Lake.Yellowknife Fire Department has responded joined by wildfire team members to ensure this fire doesn’t become a problem. Its cause is being investigated.,https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,,161,45 comments,45 comments
"Behchokǫ̀/Yellowknife Fire (ZF015) – August 5 (11:15am): This fire is out of control. It is estimated at more than 114,400 hectares. Distance from landmarks• Yellowknife – 37km northwest• Highway 3 – within 1km at KM 284… See more",https://www.facebook.com/search/posts?q=yellowknife%20fire&filters=eyJycF9jcmVhdGlvbl90aW1lOjAiOiJ7XCJuYW1lXCI6XCJjcmVhdGlvbl90aW1lXCIsXCJhcmdzXCI6XCJ7XFxcInN0YXJ0X3llYXJcXFwiOlxcXCIyMDIzXFxcIixcXFwic3RhcnRfbW9udGhcXFwiOlxcXCIyMDIzLTFcXFwiLFxcXCJlbmRfeWVhclxcXCI6XFxcIjIwMjNcXFwiLFxcXCJlbmRfbW9udGhcXFwiOlxcXCIyMDIzLTEyXFxcIixcXFwic3RhcnRfZGF5XFxcIjpcXFwiMjAyMy0xLTFcXFwiLFxcXCJlbmRfZGF5XFxcIjpcXFwiMjAyMy0xMi0zMVxcXCJ9XCJ9In0%3D,https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-6/365296940_698828685622524_1320226548933501187_n.jpg?stp=cp6_dst-jpg_s1080x2048&_nc_cat=106&ccb=1-7&_nc_sid=3635dc&_nc_ohc=U_LBSrSk9TMAX9UCf1A&_nc_ht=scontent-iad3-2.xx&oh=00_AfCE86wCf-O1V5umzieO_DIJu9yZcAcBMxKbIJAVu6Y0qw&oe=65E76F17,50,11 comments,11 comments
