Content,Reactions,Comments,Reposts,Poster,Location
"Felt strange driving north towards NWT while everyone else was southbound due to mandatory evacuation. Sadness set in passing through Enterprise seeing the utter destruction of 90% of the town and blackened earth for 30km beyond. So far Yellowknife has been spared, they've built a firewall around the city and are continuously waterbombing and spraying fire retardant. It's cooled off a bit and rained some, but next week is supposed to warm up. Many good people trying to save t… See more",33,8 comments,8 comments,Darren Wesley,
"As we are well into the third week of the #Yellowknife evacuation, Diavik mine would like to reinforce our ongoing appreciation for everyone who has been battling the wildfires, as well as those who evacuated and allowed responders to focus safely on their work. We applaud the professionalism and dedication of each of you. Diavik was humbled to be able to participate in the efforts by providing firefighting equipment including a sprinkler system, pumps, hoses and pipes. The… See more",48,4 comments,4 comments,Diavik Diamond Mines Inc,
So pathetic!!!I tried to share the evacuation notice for Yellowknife and a pop up said you can not share news stories in Canada!!!Unfreaking real!!So I copied and pasted some of it.… See more,8,20 comments,20 comments,Donna McMillan Kjorsvik,
The City of Yellowknife is issuing an Evacuation Alert for some areas of the city because of the real potential threat to public safety due to the Behchoko/Yellowknife wildfire (ZF015).The Evacuation Alert is for the following areas:- REVISED: Kam Lake Industrial Area (Previously this said Kam Lake)- Grace Lake… See more,106,69 comments,69 comments,City of Yellowknife,
"YELLOWKNIFE EVACUATION: If you are having trouble accessing the Government of the Northwest Territories webpage to read the Evacuation Order, here is a picture of the order. You can also access it at the link below:https://www.gov.nt.ca/.../evacuation-order-yellowknife...",95,35 comments,35 comments,NWT Fire,
"As many of you know our autumn trips have been cancelled due to the threat of wildfire to Yellowknife and the evacuation of our capital city. We were very much looking forward to hosting you and providing you with an extraordinary experience at our lodge this fall and are very sorry for the unfortunate need to cancel your trip. Please note that our lodge is not under wildfire threat, the Yellowknife evacuation impacts our business office, logistical operations, and Yellowknif… See more",41,11 comments,11 comments,Peterson's Point Lake Lodge,Peterson's Point Lake Lodge
"Yellowknife is not currently under threat of wildfires. In the event that an evacuation was ever required for all or a portion of Yellowknife, the City would follow its evacuation framework. https://www.yellowknife.ca/City_of_Yellowknife_Emergency...",23,19 comments,19 comments,City of Yellowknife,
YELLOWKNIFE UNDER EVACUATION: Yellowknife is under evacuation order currently. Please follow the directions listed on the Northwest Territory website here at https://www.gov.nt.ca/en/public-safety Be safe out there everyone! … See more,101,39 comments,39 comments,Bob Zimmer MP,
“An evacuation alert  ” Yellowknife activating state of emergency due to heavy wildfire.,23,28 comments,28 comments,Niaz Muhammad,
"OBEY THE EVACUATION ORDERYELLOWKNIFE, NORTHWEST TERRITORIES  |  AUGUST 17, 2023On August 16, 2023, the Government of the Northwest Territories issued an Evacuation Order for Yellowknife, N’dilo, Dettah, and Ingraham Trail directing all residents of the above areas to evacuate by NOON on Friday, August 18, 2023.… See more",17,3 comments,3 comments,City of Yellowknife,
"UPDATE ON EVACUATION CENTRES IN ALBERTA FOR EVACUEES FROM YELLOWKNIFE/NDILO/DETTAH/INGRAHAM TRAIL:Yellowknife evacuees travelling by road are being asked to arrange their own accommodations. Yellowknife evacuees travelling by road who require support and accommodations in Alberta can receive support in the following communities: Valleyview, Alberta… See more",21,19 comments,19 comments,Caitlin Cleveland,
"In light of the wildfire evacuation, the City of Yellowknife announced that there would be no penalty fees for unpaid property taxes or utility charges. Now tha… See more",,,,City of Yellowknife,
Yellowknife is on evacuation alert and I know there are some YK residents are heading to Alberta for there safety. Is there other evacuation centers we can get set up and be prepared for Yk residents to go ahead of time if needed?? Maybe there is something already in place?,16,46 comments,46 comments,NWT Wildfires Safety Check,
"The City of Whitehorse is aware of the evacuation of Yellowknife as a result of wildfires approaching the community. Our thoughts are with wildfire personnel, first responders, and those residents being ordered to leave their homes. Mayor Laura Cabott has been in touch with Mayor Alty and the City is finalizing plans to offer any support we can including logistics and humanitarian support for as long as it is needed. The City is also coordinating with the Government of Yuko… See more",183,11 comments,11 comments,"City of Whitehorse, Yukon",
"Experienced the most eerie morning in Yellowknife in my entire life. It has been almost 2 weeks since I returned home from the 3+ week evacuation (forest fires); came out of the gym this morning to a very dark and deep red/orange sky, which then turned to orange and now its a sickly yellow (the sun has no chance of peeking through anywhere!). The air quality and smoke is as bad as it was before we left on Aug 16... but this morning, the sky was like none other.  .I haven't … See more",62,9 comments,9 comments,Tawna Brown Photography,"Yellowknife, NT"
"#BurningPlanet #GlobalBoiling #YellowknifeEvacuationOur brethren in N.W.T. are in serious trouble - Yellowknife residents have been ordered to begin evacuating the city immediately as wildfires approach, N.W.T. officials announced Wednesday evening. The extraordinary evacuation order affects nearly 22,000 people. Phased evacuation orders are now in effect for most of the province. Premier Caroline Cochrane calls the situation unprecedented. Go to cbc . ca - FB won’t permit … See more",36,,,Karen Shapiro Cilevitz,"Yellowknife, NT"
Well when most people hear about an evacuation order in their hometown they stay away. Nope not Alex. He has just touched down in Yellowknife to aid in the firefighting effort. He is a true Canadian Legend!,3.8K,289 comments,289 comments,Alex Debogorski,
"Yellowknife fire evacuation I drove to Behchoko (my home town) and tented at my brother David Gon. It’s been 5 years since I’ve been home. Fish, caribou meat and tea was amazing. I am grateful for my brother and family to host me. And I made a new friend Oreo their security/family dog who finally warmed up to me (best friends now!). Mahsi Cho Behchoko! #yellowknife #behchoko #nwt #evacuation #yzf #yellowknifeevacuation",83,4 comments,4 comments,Digawolf,
"Yellowknife on full evacuation order and everyone is to be out by Friday noon. Drive safely, if you drive. Safe flight, if you fly. Be patient and kind to one another. These are hard times for everyone. I'm safe, i live well east of the fire's current path, I will be staying for work and have a safe plan of evacuation should the highway and airport become inaccessible. Good luck all.",52,17 comments,17 comments,Cameron Buddo,
"“With respect to pricing, there have been postings in social media about fares being elevated,” Air Canada says. “This is not correct as we proactively at the earliest possible time, put in place a cap to limit fares for Air Canada’s direct flights out of Yellowknife.”",1,,,TravelPulse Canada,
"Made it out of Yellowknife safely. Wishing a safe evacuation to everyone forced to leave in the NWT, and wishing a safe week ahead to the amazing ppl who are still in the communities helping to save our homes. Photo cred to the amazing Shannon Moore who also got out safely. #nwt #yellowknife #yellowknifenwtcanada #evacuation #yzf #yellowknifeevacuation",42,1 comment,1 comment,Digawolf,
Sorry everyone! I won’t be taking photos for a while  Hope everyone is staying safe out there! #yellowknifeevacuation #yellowknifephotographer,2,3 comments,3 comments,Timber Wolf Photography,
"BREAKING NEWS: A massive wildfire forces 20，000 Yellowknife residents to evacuate! Yellowknife, a city in Canada's Northwest Territories, is facing an apocalyptic inferno. A raging wildfire threatens the safety of its 20,000 residents, leading to a mass evacuation. This is an urgent situation with lives at stake. As t… See more",,,,World trend now,
Re: Yellowknife evacuationWhen is our Federal government stepping in? $400/day per family. $250 per person. Millions and millions sent overseas. Our money. #TrudeauHelpUs #LiberalParty #JustinTrudeau #AidForNWT #TerritorriesRelief #TaxPayerDollars #OttawaMPs #NWTPremier #GNWT #CanadianGovernment #CTV #CBCNews #GlobalNews #RalphGoodale #FederalGovernment #CanadianBroadcastCorperation #UnitedNations,3,,,The Wake Up Party of Canada,
Do I have any friends out west (Edmonton) who know of anyone flying east that can bring a pet to their hooman? They were impacted by the Yellowknife evacuation. Please DM me.,3,2 comments,2 comments,Crystal Watson,
"Hey Yellowknife, I know that with the Facebook news ban it's been hard to access and share reliable information. I just wanted to pass on where to find CBC North/NWT online.We've made this page with links to our Radio, Web, and TV news:https://www. cbc .ca/news/canada/north/community/yellowknife-evacuation-1.6939334(delete the spaces)… See more",41,8 comments,8 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
I have reached out to the Minister of ECC/MACA for the evacuation plan for Yellowknife as many of you have asked. I've been pointed back to the city. This is what I found on their website:https://www.yellowknife.ca/City_of_Yellowknife_Emergency...,12,14 comments,14 comments,Katrina Nokleby,
This is how governments should treat homeless people.  Can you imagine Jim Pillen riding around for hours with a homeless guy to make sure that the homeless community was safely evacuated before a fire?  Caroline Cochrane is the governor I want!,23,6 comments,6 comments,Fran Kaye,
Yellowknife evacuation. Oh. Canada.,1,3 comments,3 comments,Chris Stratton,
"Summer is over and our house is empty! Not sure how we all survived, but we did  6 adults, 5 kids under 5 and 5 large dogs under one roof for a few weeks  #yellowknifeevacuation #yellowknifeevacuees #nwtstrong #friendslikefamily",40,4 comments,4 comments,Tara-Lynn Loeppky,Tara-Lynn Loeppky
Yellowknife evacuation of 22000 people by road and air.  Evacuations hopefully completed by noon Friday.  Donate what you can to North West Territories United Way.,6,,,Pamela Smyth,
"Tonight, we learned that communities in Yellowknife, Dettah, Ndılǫ, and Ingraham Trail are now being evacuated due to the wildfires, in addition to the other co… See more",,,,United Way Northwest Territories,
"Yellowknife residents in Kam Lake, Grace Lake and Engle Business District are advised to be prepared to evacuate on short notice due to a wildfire in the area. Should you need to evacuate, an order will be issued.  Please register your household using the Evacuee Registration Portal at https://www.gov.nt.ca/en/form/evac. For more information visit https://www.yellowknife.ca/.../city-of-yellowknife-issues... and https://www.facebook.com/OurYellowk… See more",54,18 comments,18 comments,Government of the Northwest Territories,
"NWT  press conference on Yellowknife evacuation. i am watching it on canada's publicly owned tv network I dare not say their name because Facebook, with fine publuc spirit, might censor this post.  And I crying for the tragedy and where we have all come to.",14,5 comments,5 comments,Delores Broten,
This is a helpful set of images to learn about the experience of Yellowknife Women Society's program participants during the Yellowknife evacuation.,1,,,Yellowknife Women's Society,
"Some service-users have spoken with YKWS staff about their evacuation experiences, and have agreed to share parts of their stories. They spoke of some of the … See more",,,,Yellowknife Women's Society,
I must be missing yellowknife since yellowknife is what I am painting (another view of pilot's monument and air tindi before the drought) in my hotel room in Edmonton. Yellowknife is still evacuated but it seems the situations is very hopeful and we need only bide our time.After much scrounging for supplies around the city I have put together enough paints to get me through these trying times.Thank goodness for art!.… See more,29,6 comments,6 comments,Jessica McVicker Art,"Yellowknife, NWT, Canada"
Gwenan and I decided to revisit our vlogging and vlog our return to Yellowknife after our three week evacuation. Hope this is informative for those who don't live in YK!,7,,,Miguel Letain,
"""Massive Forest Fire Forces Evacuation of 20,000 Residents in Northern Canada""#CanadaForestFire #YellowknifeEvacuation #EmergencyEvacuation #WildfireEmergency",2,,,The daily news wire,
"""The Yellowknife evacuation order is finally being lifted, allowing residents to return home after weeks of being away due to wildfires. This is a significant moment for the community as a sense of normalcy slowly returns. Yellowknife's Mayor Rebecca Atly commented on this positive development, stating that she was relieved to hear children laughing again after three long weeks. The return of residents will take some time and there may be logistical challenges along the way, … See more",,,,OpenCanuck.com,
"It’s has not gone unnoticed that this tiny hamlet in the Northwest Territories- Fort Providence has been integral with the evacuation out of Yellowknife.The gas line up was long- but the workers kept spirits up, kept everyone calm and were slinging burgers like an NHL hockey game!There were guides on the magnificent Deh Cho bridge and everyone you met had a smile!!… See more",31,6 comments,6 comments,Derise Rehm,"Fort Providence, NT, Canada"
Please be generous if you’re able. This is such a horrible situation!!!  Xoxo,,,,Tamara Hartlen,
Heartbreaking scenes from British Columbia as wildfires rage. The province's picturesque landscapes are under siege.  Let's spread awareness and support those affected. 1.  Unprecedented Crisis: Witness the rapid growth of wildfires and the evacuation of thousands of residents in B.C. 2.  Infrastructure Impact: Learn about the partial closure of the TransCanada highway and its consequences for transportation and supply chains. 3. … See more,2,,,BNN Canada,
Canada wildfires: Yellowknife residents ordered to evacuate by 6pm sparking gridlock on Highway 3.,,,,InciNotes,
"Northwest Territories worked closely with shelters in Yellowknife to make sure people were brought to the evacuation centre, Premier says",26,1 comment,1 comment,The Globe and Mail,
"# Yellowknife Evacuation: What You Need to Know As the threat of wildfire reaching the outskirts of Yellowknife by the weekend loomed, the Northwest Territories government ordered a **full evacuation** of the capital on **Wednesday night**, with the aim of having all 22,000 residents out by **noon on Friday**. The government has a **website** containing all of the information residents might need....",,,,OpenCanuck.com,
"This election season’s version of Black Lives Matter Riots:  arsonists setting wildfires and blaming it on global warming…. Gotta do something about that - raise gas prices  some more, and spend more Fed Money.  The Dem motto: “Don’t let a crises go to waste.  Use it as an opportunity to reshape the country toward our socialist goals”.",2,1 comment,1 comment,Rick Walters,
"OK during the Yellowknife evacuation, we housed a relatives 16 year cat for a couple weeks.They have safely return to Yellowknife, but she has asked me to generously donate the items to somebody who has rescued a cat or desperately need some here in Airdrie, because she would like to pay it forward.**Thank you everyone I just have the scoop, the bowls, ￼ the disposable litter box, and the litter scoop left.",12,18 comments,18 comments,Airdrie Giveaway or Trade!,
Latest information on the Yellowknife evacuation effort as of 12 p.m. Aug. 18 is now available on www . NNSL . com,4,,,Yellowknife's Rants & Raves 2.0 (Rated E),
"Go to Bitchute. Type Yellowknife evacuation into search bar. Click on the video that says ""massive very complex Canary Island wildfire...     There is some unrelated stuff to sit thru, plus I'm not sure about this guy and all he says. He mentions Bit Chute in a rather negative way. He's partly correct, because on Bit Chute you can find anti Jewish type videos. Once again, I must say that I do not believe it to be ALL Jews. No, it's far more deep and complex, and this ""Jewish""… See more",3,3 comments,3 comments,Ian Tompkinson,
Finally finished this painting. I had started it just before evacuating. It was such an illusory start to the day since it was beautiful without any smoke or inkling of a premonition of danger….well until 5pm when it looked like the apocalypse. This was near where we have the ice road to dettah (a nearby community to Yellowknife) in the winter. I have never in all my Yellowknife days seen the water level so low! There were these 3 Sandhill cranes that came and stayed for h… See more,20,3 comments,3 comments,Jessica McVicker Art,
"Canadian City of Yellowknife Evacuated as Wildfires Approach  The northern city of Yellowknife in Canada is facing an urgent evacuation as wildfires threaten to engulf the region. With the inferno just miles away, fire crews are working tirelessly to create firebreaks and deploy protective measures. The unprecedented scale of wildfires across Canada this season has displaced thousands and shattered records, underscoring the urgent need for climate action and resilience. … See more",4,9 comments,9 comments,BNN Canada,
We have comprehensive coverage this hour on the Yellowknife evacuation we will get an update on the wildfire in a moment and we will take you live to the airport where people are waiting for flights out now yellowknife's mayor is urging anyone still in the city to get out For those who haven't evacuated yet please do so now the highway is open but it's subject to change at any time we want to ensure everybody's safety and with the fire approaching it's not only the fire but i… See more,,,,OpenCanuck.com,
Discover how Meta's news ban in Canada during the Yellowknife wildfires is impacting critical information sharing and why resilience shines through.,1,,,MIX 97 QUINTE'S BEST VARIETY,
"Northwest Territories Premier Caroline Cochrane was a social worker before entering politics, so when the territory ordered everyone in its capital to leave last week due to encroaching wildfires, she said she checked to make sure homeless people weren’t forgotten. !( “My heart’s with those people. I’ve worked in that field for over 20 years,” Cochrane told an online news conference about the firefighting efforts over the weekend, when she was asked about government plans to … See more",,,,OpenCanuck.com,
Residents of Yellowknife who have been evacuated due to wildfires are being told to start planning now for their return home.,21,1 comment,1 comment,Edmonton Journal,
"Residents of Yellowknife and a nearby First Nation who have been evacuated for weeks due to wildfires are being told to start planning now for their return home, beginning Wednesday.",6,,,Global Edmonton,
Airlines are adjusting prices and adding capacity to help with evacuation efforts in Yellowknife.,13,1 comment,1 comment,Vancouver Is Awesome,
"via @PerilOfAfrica #CANADA #City #Evacuation #Ordered #Wildfires Yellowknife evacuation ordered as Canada wildfires near city: By WASHINGTON POST Comment on this storyCommentAuthorities in Canada are racing to evacuate nearly 20,000 residents from the territorial capital, Yellowknife, in the Northwest Territories by Friday as a raging wildfire nears the city.With the blaze threatening to reach the city in the coming days, firefighters have battled to ward off flames that have… See more",,,,Peril of Africa,
"YELLOWKNIFE — Residents of Yellowknife and a nearby First Nation who have been evacuated for weeks due to wildfires are being told to start planning now for their return home, beginning Wednesday.",,,,MountainView TODAY,
Claude the new Hangar cat that showed up during the evacuation of Yellowknife and hasn’t missed a day of work since. He sure loves the DC-3.. who can blame him.,,,,Mikey McBryan,
"For those in Canada, I posted a Reuters article on the Yellowknife evacuation.   This is why you cannot see the post.  In Thailand the article is up.",,,,Canadians in Phuket,
"N.W.T. officials say start planning now for lifting of Yellowknife evacuation order - Only essential workers who have been contacted are being allowed back now, and everyone else is being told to stay where they are until the evacuation lifts on Wednesday. -",,,,Nawaz choor,
"Chad Blewett is pilot on the Boeing 737 Max for Air Canada, and one of the airline’s first Inuit captains. Here is his first-person account of returning to his home in Yellowknife to help evacuate residents as wildfires threatened the town.",2,,,Janice Schuyler Ketchen,
"Mining Workers Forced to Evacuate Yellowknife Amid Wildfire MenaceExplorers & miners in NW Territories prioritize staff safety as Yellowknife evacuation is mandated due to encroaching wildfires.Territorial Minister of Environment and Climate Change and Minister of Municipal and Community Affairs Shane Thompson issued the order in a news conference Wednesday night, saying all residents of Yellowknife, Ndilo, Dettah and along the Ingraham Trail must leave by noon Friday.… See more",,,,Northern Miner,
NWT officials on Wednesday evening ordered Yellowknife residents to evacuate by Friday at noon,10,,,The Globe and Mail,
Latest information on the Yellowknife evacuation as of 12 p.m. Aug. 18 now available on www . NNSL . com,1,,,Yellowknife current events,
"Yellowknife evacuation, Trudeau Liberals mull 'far-right game plan', CCP influenceSheila Gunn Reid and Adam Soos are LIVE for the DAILY Roundup! (which airs every weekday at 1 p.m. ET/11 a.m. MT)",1,,,Rebel News,
"Hi Folks, As many of you may have already noticed, Fishy People's doors have remained closed since the evacuation ended. Despite our ongoing love for providing a unique culinary and entertainment experience to all of you in Yellowknife, there remain major ongoing issues with our current building that continue to remain unresolved and cannot be overlooked.… See more",174,21 comments,21 comments,Fishy People,
I think we need to take a serious look at how we were treated in Alberta after evacuated from Yellowknife and maybe rethink how we offer evacuation services in Yellowknife.  People often come to Yellowknife for evacuations from other parts of the territory and I am wondering if they are treated as good in Yellowknife as we have been in Alberta.  I have no idea if we offered them hotels rooms and meals like we have received or did we just give cots in a big room.  Now that we … See more,583,56 comments,56 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
"Rant to the Personal Insurance…after 35 years of loyalty, forced evacuation gets you no 500 deductible waiver and a 30 day wait period to place a claim. Guess we’ll be looking for new insurance provider for our 4 vehicles and house after this is over, any suggestions?The Personal",84,118 comments,118 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
"Dear Yellowknife Tours valued guests and friends,Thank you very much for your concern about the wildfire situation in our home Yellowknife. We have received many warm hearted messages from all of you. The city of Yellowknife has declared an evacuation order on August 16. We need to arrange a plan for our valuable guests, employees, families to leave immediately. Sorry for the late response to you and thank you very much for your understanding !… See more",119,6 comments,6 comments,Yellowknife Tours,
"The YWS Board of Directors has written and published an open letter to our participants, staff, and the community of Yellowknife following our evacuation experience. As community leaders, we believe in accountability for our own actions.You can find the full letter on our website: https://www.ykws.ca/.../open-letter-from-ykws-board-of...",13,,,Yellowknife Women's Society,
"Just got told by the evacuation center that if you are moving center to center to try to make a vacation, you will not get help but where you are right now. For example, if I decided to go to Edmonton right now, I would have to pay out of pocket as I'm registered in Valleyview. So make sure you stay where registered except for day trips.They just announced covering indefinitely and not just until September 5.Turned off commenting. This was just to inform people of what wa… See more",72,6 comments,6 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
Any dentist services available in yellowknife that can see someone during this evacuation for emergency? I went to the clinic but was only given antibiotics and the closest place would be high level. Any information or tips would be great.,1,3 comments,3 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
"Good Morning everyone, we are all still doing fine, Yellowknife isn’t under a evacuation order yet. We are all still at work. The Penney’s have been busy watering down the cabin area and now we will focus on packing up a few things, incase we have to leave. Please don’t worry about us as I am sure we will be fine, it’s business as usual for us right now. Thanks to everyone who checked in on us. Take care everyone and stay safe.",94,53 comments,53 comments,Geraldine Pottle Penney,City of Yellowknife
"What a surreal experience lifting off from Yellowknife in the smoke. YK airport was a skeleton crew so we didn’t have screeners or security. Landed in Vancouver, and escorted by by secure personnel/bus to directly pick up our luggage. Lots of airport employees and media greeting us. Grateful to get out of YK safely. Now en route of leg 2 of my evacuation plan to Calgary. Mahsi all",105,18 comments,18 comments,Mahalia Yakeleya Newmark,
